(produit) type produit;(produit) numero AMM;(produit) nom produit;(produit) seconds noms commerciaux;(produit) titulaire;(produit) type commercial;(produit) gamme usage;(produit) mentions autorisees;(produit) Substances actives;(produit) fonctions;(produit) formulations;identifiant usage lib court;identifiant usage; date decision;stade cultural min (BBCH);stade cultural max (BBCH);etat usage;dose retenue;dose retenue unite;delai avant recolte jour;delai avant recolte bbch;nombre max d'application;date fin distribution;date fin utilisation;condition emploi;ZNT aquatique (en m);ZNT arthropodes non cibles (en m);ZNT plantes non cibles (en m);mentions autorisees;Unnamed: 29
PPP;2140184;PROLECTUS;KAMUY;PHILAGRO France;Produit de référence;Professionnel;;fenpyrazamine (Fenpyrazamine) 500.0 g/kg;Fongicide;Granulé dispersable;12703205;Vigne*Trt Part.Aer.*Pourriture grise;31/12/2014;61.0;87.0;Autorisé;1.2;kg/ha;14.0;;1.0;;;Uniquement sur raisin de cuve: Maximum 1 application de fenpyrazamine ou de fenhexamid par an entre les stades BBCH 61-87;5.0;;;;
PPP;2140184;PROLECTUS;KAMUY;PHILAGRO France;Produit de référence;Professionnel;;fenpyrazamine (Fenpyrazamine) 500.0 g/kg;Fongicide;Granulé dispersable;12703205;Vigne*Trt Part.Aer.*Pourriture grise;31/12/2014;61.0;87.0;Autorisé;1.2;kg/ha;7.0;;1.0;;;Uniquement sur raisin de table: Maximum 1 application de fenpyrazamine ou de fenhexamid par an entre les stades BBCH 61-87;5.0;;;;
PPP;7600557;LEGURAME LIQUIDE;;ADAMA FRANCE SAS;Produit de référence;Professionnel;;carbétamide (Carbetamide) 300.0 g/L;Herbicide;Concentré émulsionnable;12705902;Vigne*Désherbage*Cult. Installées;08/12/2003;;;Retrait;;;;;;;;;;;;;
PPP;9500234;ANTENE;ALCEDO | MOLINA;ISAGRO SPA;Produit de revente;Professionnel;;tetraconazole (Tetraconazole) 100.0 g/L;Fongicide;Concentré émulsionnable;12703206;Vigne*Trt Part.Aer.*Black rot;09/12/2016;;;Autorisé;0.3;L/ha;30.0;;2.0;;;2 applications non consécutives par campagne sur tout le complexe de maladies revendiquées.;5.0;;;;
PPP;9500234;ANTENE;ALCEDO | MOLINA;ISAGRO SPA;Produit de revente;Professionnel;;tetraconazole (Tetraconazole) 100.0 g/L;Fongicide;Concentré émulsionnable;12703204;Vigne*Trt Part.Aer.*Oïdium(s);09/12/2016;;;Autorisé;0.25;L/ha;30.0;;2.0;;;2 applications non consécutives par campagne sur tout le complexe de maladies revendiquées.;5.0;;;;
PPP;9500234;ANTENE;ALCEDO | MOLINA;ISAGRO SPA;Produit de revente;Professionnel;;tetraconazole (Tetraconazole) 100.0 g/L;Fongicide;Concentré émulsionnable;12703207;Vigne*Trt Part.Aer.*Rougeot parasitaire;09/12/2016;;;Autorisé;0.3;L/ha;30.0;;2.0;;;2 applications non consécutives par campagne sur tout le complexe de maladies revendiquées.;5.0;;;;
PPP;2100221;ENERVIN;PRIVEST;BASF FRANCE SAS;Produit de référence;Professionnel;;amétoctradine (Ametoctradin) 120.0 g/kg | métirame (Metiram) 440.0 g/kg;Fongicide;Granulé dispersable;12703206;Vigne*Trt Part.Aer.*Black rot;28/06/2017;53.0;83.0;Autorisé;2.5;kg/ha;35.0;;2.0;;;- Deux applications par cycle cultural sur l'ensemble du complexe de maladies. - Intervalle minimum entre les applications : 12 jours.;5.0;5.0;;;
PPP;2100221;ENERVIN;PRIVEST;BASF FRANCE SAS;Produit de référence;Professionnel;;amétoctradine (Ametoctradin) 120.0 g/kg | métirame (Metiram) 440.0 g/kg;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);28/06/2017;53.0;83.0;Autorisé;2.5;kg/ha;35.0;;2.0;;;- Deux applications par cycle cultural sur l'ensemble du complexe de maladies. - Intervalle minimum entre les applications : 12 jours.;5.0;5.0;;;
PPP;2160696;SHOSHI;;LAINCO S.A;Produit de référence;Professionnel;;hexythiazox (Hexythiazox) 100.0 g/kg;Acaricide;Poudre mouillable;12703101;Vigne*Trt Part.Aer.*Acariens;24/10/2016;;;Autorisé;0.25;kg/ha;21.0;;1.0;;;;5.0;;;;
PPP;2170439;ACAROIL;;INDUSTRIAS AFRASA S.A.;Produit de référence;Professionnel;;hexythiazox (Hexythiazox) 100.0 g/kg;Acaricide;Poudre mouillable;12703101;Vigne*Trt Part.Aer.*Acariens;30/05/2017;;;Autorisé;0.25;kg/ha;21.0;;1.0;;;;5.0;;;;
PPP;2170440;JALISCO;;PROPLAN Plant Protection Company, S.L.;Produit de référence;Professionnel;;hexythiazox (Hexythiazox) 100.0 g/kg;Acaricide;Poudre mouillable;12703101;Vigne*Trt Part.Aer.*Acariens;30/05/2017;;;Autorisé;0.25;kg/ha;21.0;;1.0;;;;5.0;;;;
PPP;2090026;PYRUS 400;BABEL 400 | PAPYRUS 400;ARYSTA LIFESCIENCE BENELUX SPRL;Générique;Professionnel;;pyriméthanil (Pyrimethanil) 400.0 g/L;Fongicide;Suspension concentrée;12703205;Vigne*Trt Part.Aer.*Pourriture grise;25/03/2010;;;Autorisé;2.5;L/ha;21.0;;1.0;;;;20.0;;;;
PPP;2090148;ESTOCADE;;PHYTEUROP;Produit de revente;Professionnel;;folpel (Folpet) 48.0 % | valifénalate (Valifenalate) 6.0 %;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);28/01/2015;;69.0;Autorisé;2.0;kg/ha;;;2.0;;;raisin de table dont vignes mères: 2 applications non consécutives par an. Application avant la fin de floraison ;20.0;;;;
PPP;2090148;ESTOCADE;;PHYTEUROP;Produit de revente;Professionnel;;folpel (Folpet) 48.0 % | valifénalate (Valifenalate) 6.0 %;Fongicide;Granulé dispersable;12703203;Vigne*Trt Part.Aer.*Mildiou(s);28/01/2015;;;Autorisé;2.0;kg/ha;42.0;;2.0;;;raisin de cuve dont vignes mères: 2 applications non consécutives par an;20.0;;;;
PPP;9300032;CONFIRM;;NISSO CHEMICAL EUROPE GMBH;Produit de référence;Professionnel;;tébufenozide (Tebufenozide) 240.0 g/L;Insecticide;Suspension aqueuse;12703117;Vigne*Trt Part.Aer.*Chenilles phytophages;08/12/2003;;;Autorisé;0.6;L/ha;21.0;;;;;;;;;;
PPP;9300032;CONFIRM;;NISSO CHEMICAL EUROPE GMBH;Produit de référence;Professionnel;;tébufenozide (Tebufenozide) 240.0 g/L;Insecticide;Suspension aqueuse;12703104;Vigne*Trt Part.Aer.*Tordeuses de la grappe;08/12/2003;;;Autorisé;0.6;L/ha;21.0;;;;;;;;;;
PPP;2150008;REGALIS PLUS;;BASF FRANCE SAS;Produit de référence;Professionnel;;prohexadione-calcium (Prohexadione) 100.0 g/kg;Régulateur de croissance;Granulé dispersable;12703822;Vigne*Trt Part.Aer.*Act. Nouaison;23/01/2019;61.0;65.0;Autorisé;1.8;kg/ha;;;1.0;;;Uniquement sur pinot noir, pinot meunier et sauvignon blanc.;5.0;;;;
PPP;2200708;BACCARD;;ARYSTA LIFESCIENCE BENELUX SPRL;Générique;Professionnel;;quizalofop-P-éthyl (Quizalofop-P-ethyl) 120.0 g/L;Herbicide;Concentré émulsionnable;12705902;Vigne*Désherbage*Cult. Installées;04/12/2020;12.0;57.0;Autorisé;1.25;L/ha;;;1.0;;;Uniquement sur raisin de table.;5.0;;5.0;;
